V1,V2,V3,V4
021081532ECB,"SLOVAKIA ECB ACCT SK, NATL BK OF SLOVAKIA  ",Y,Y20081230
021081545NZEALAND,OPS ACCT1NEW ZEALAND OPS ACCT1     ,Y,N20081217
021081558AUSTRIA,OPS ACCT 1OESTERREICHISCHE NATLBANK OPS ACCT 1   ,Y,Y20120417
021081561BELGIUM,OPS ACCT1 BANQUE NATL. DE BELGIQUE OPS ACCT 1 ,Y,Y20120417
021081574CYPRUS,OPS ACCT1 CENTRAL BANK OF CYPRUS-OPS ACCT 1  ,Y,Y20091105
021081587FINLAND,OPS ACCT1 SUOMEN PANKKI FINLANDS BK OPS ACCT 1 ,Y,Y20120418
021081590DLRP,WASH DLRP WASH ACCOUNT      ,N,Y20141107
021081613FRANCE,OPS ACCT1 BANQUE DE FRANCE - OPS ACCT 1 ,Y,Y20120418
021081626GERMANY,OPS ACCT1 DEUTSCHE BUNDESBANK OPER ACCT 1   ,Y,Y20090320
021081639GREECE,OPS ACCT1 BANQUE DE GRECE OPS ACCT 1  ,Y,Y20141121
021081642IRELAND,OPS ACCT1 CENT BK OF IRELAND OPS ACCT 1 ,Y,Y20100225
021081655ITALY,OPS ACCT 1 BANCA D'ITALIA OPS ACCT 1  ,Y,N20131004
021081668LUXEMBOURG,OPSACT1CB LUXEMBOURG OPS ACCT 1     ,Y,Y20120418
021081671MALTA,OPS ACCT 1 CENTRAL BANK OF MALTA OPS ACCT 1,Y,Y20091105
021081684NETHERLANDS,OPS1 DE NEDERLANDSCHE BANK NV OPS ACCT 1  ,Y,Y20120418
021081697PORTUGAL,OPS ACCT1BANCO DE PORTUGAL OPS ACCT 1   ,Y,Y20091105
021081723SLOVENIA,OPS ACCT1BANK OF SLOVENIA OPS ACCT 1   ,Y,Y20120418
021081736SPAIN,OPS ACCT1 BANCO DE ESPANA OPS ACCT 1  ,Y,Y20100329
021081752MIGA,ACCT GEN MIGA ACCT GFN/FOREIGN DEPARTMENT    ,Y,Y
021081778TANZANIA,RAMP BANK OF TANZANIA RAMP ACCT    ,Y,Y20031014
021081794MEXICO,"OPS ACCT1 BANCO DE MEXICO , SA   ",Y,N20090213
