V1,V2,V3,V4
251573182CITZ,BK MORGANTOWNCITIZENS BANK OF MORGANTOWN     ,Y,Y
251578776HOPE,FCU HOPE FCU       ,Y,SN20110509
251578844FAIRMONT,FCU WVA FAIRMONT FCU      ,Y,Y19990802
251579254MOUNTAIN,HERIT FCUMOUNTAIN HERITAGE FCU      ,Y,N20120321
251579319ONE,COMMUNITY FCU ONE COMMUNITY FCU     ,Y,N20120402
251583839WV,CENTRAL CU WV CENTRAL CREDIT UNION    ,Y,SY20110615
251584197WV,FED CU SCHAS WEST VIRGINIA FEDERAL CREDIT UNION  ,Y,SN20051209
251983691STAR,USA FCU STAR USA FEDERAL CREDIT UNION   ,Y,N
251983730PIONEER,WV FCU PIONEER WV FCU     ,Y,N20030327
251983798MEMBERS,CHOICE WV MEMBERS CHOICE WV FCU    ,Y,SN20110217
251983811PEOPLES,FCU PEOPLES FCU       ,Y,SN20140311
252070299ARUNDEL,FSB BALT ARUNDEL FEDERAL SAVINGS BANK    ,Y,Y20090226
252070545CHESAPK,BK BALT CHESAPEAKE BANK OF MARYLAND    ,Y,N
252070561COLOMBO,BK BETHSDACOLOMBO BANK       ,Y,Y20020221
252070639EASTERN,"BALT EASTERN SAVINGS BANK, FSB.     ",Y,Y20080929
252070752FIRST,MARINER BALTFIRST MARINER BANK      ,Y,Y
252070891HAMILTON,FED BK HAMILTON BANK      ,Y,Y20120409
252070985HOPKINS,FSB BALT HOPKINS FEDERAL SAVINGS BANK    ,Y,Y
252071146LIBERTY,FEDERAL LIBERTY BANK OF MARYLAND     ,Y,SN20120608
252071159BAY,VANGUARD BALT BAY-VANGUARD FSB      ,Y,SN20120820
252071214MAD,BOH SVNGS BK MADISON BANK OF MARYLAND   ,Y,Y20150204
252071557ROSEDALE,FED S&LA ROSEDALE FED. S&L ASSN.    ,Y,N20131030
252071706ST,CASIMIRS SB BALSAINT CASIMIR'S SAVINGS BANK    ,Y,SN
252075757BALT,C EFCU TOWSONBALTIMORE COUNTY EMP FCU    ,Y,Y
252076235J,HOPKINS FCU BALTJOHNS HOPKINS FCU     ,Y,Y
252076468MUNICIPAL,ECU BALTMUNICIPAL EMP CU OF BALTIMORE    ,Y,Y20140902
252076565PT,BREEZE CU BALT POINT BREEZE CU    ,Y,Y20141106
252076578POST,"OFFICE CU POST OFFICE CU OF MARYLAND, INC.  ",Y,SN20140317
252076714SECURITYPLUS,FCU SECURITYPLUS FCU       ,Y,Y20060331
252172485FIRST,SHORE FSL FIRST SHORE FED. S&L ASSN.   ,Y,Y20110801
252177121FI,PEO FCU CUMBRLDFIRST PEOPLES COMMUNITY FCU    ,Y,Y
252177150CHESSIE,EFCU CUMB CHESSIE FCU      ,Y,SN20140227
252177176KELCO,FCU CUMBERLDKEL CO. FCU      ,Y,Y19991207
252178201WEPCO,FCU BLOOMGTNWEPCO FCU       ,Y,Y20090716
253074977CAROLINA,TELCO FCUCAROLINAS TELCO FCU      ,N,Y20141107
253075028CHAR,METRO CU NC CHARLOTTE METRO FEDERAL CREDIT UNION  ,Y,N20090212
253075303SHARON,FCU CHAR SHARONVIEW FEDERAL CREDIT UNION    ,Y,Y20140414
253170062ASHEVILLE,"SAV BK ASHEVILLE SAVINGS BANK, SSB    ",Y,Y20050808
253170088BELMONT,FED S&L BELMONT FED S&L ASSOC    ,Y,N20111222
253170091BLACK,"MOUNTAIN BLACK MOUNTAIN SAVINGS BANK, S.S.B.    ",Y,SN20141112
253170279HOMETRUST,"BANK HOMETRUST BANK, NA      ",Y,Y20140829
253170334FST,FED BK DUNN NCFIRST FEDERAL BANK    ,Y,SN20081208
253170486MACON,"BANK INC MACON BANK, INC     ",Y,Y20040514
253170758KENLY,"SB KS BANK, INC      ",Y,Y20080215
253170884FFSB,LINCOLNTON FIRST FED SAVINGS BANK OF LINCOLNTON   ,Y,N20000713
253171003MORGANTON,"FSL NC MORGANTON SAVINGS BANK, SSB    ",Y,N20130405
253171294ROXBORO,"SB ROXBORO SAVINGS BANK, SSB     ",Y,N
253171537TAYLORSVILLE,"SB TAYLORSVILLE SAVINGS BANK, SSB     ",Y,SN20140902
253171621FIRST,SOUTH BANK FIRST SOUTH BANK     ,Y,Y20010409
253171676AF,BANK LIFESTORE BANK       ,Y,Y20090928
253171773PIED,FSL WINSTON PIEDMONT FEDERAL SAVINGS BANK    ,Y,Y20100819
253174738TELCO,COMM ASHEVLETELCO COMMUNITY CREDIT UNION     ,Y,N20111028
253174893MARINE,FCU JAX NC MARINE FCU     ,Y,Y
253174903CHAMPION,CU CANTONCHAMPION CREDIT UNION      ,Y,N20061013
253175384FI,FLIGHT HAVELOCKFIRST FLIGHT FEDERAL CREDIT UNION    ,Y,N20110203
253175397CAROLINA,FCU CAROLINA FCU       ,N,Y20141107
253175494COAST,FCU RALEIGH COASTAL FEDERAL CREDIT UNION    ,Y,N
253175724BRAG,MFCU FAYETVLEBRAGG MUTUAL FEDERAL CU     ,Y,N
253175737FORT,BRAGG FCU FORT BRAGG FCU     ,Y,Y20130502
253175889PREMIER,FCU GREENSPREMIER FCU       ,Y,Y20140115
253176286CORNING,CS CU HKY CORNING CABLE SYSTEMS CU   ,Y,N20000808
253177049STATE,ECU RALEIGH STATE EMPLOYEES CU     ,Y,Y
253177117RTP,FCU RTP NC R T P FEDERAL CREDIT UNION ,Y,Y20130111
253177793MEMBERS,CU WINSTONMEMBERS CREDIT UNION      ,Y,Y20140814
253177832TRULIANT,FCU WS NCTRULIANT FEDERAL CREDIT UNION    ,Y,N20100819
253177861PACU,WS NC PIEDMONT ADVANTAGE CU     ,Y,Y20140219
253177887ALLEGACY,FCU NC ALLEGACY FEDERAL CREDIT UNION    ,Y,Y20010104
253177968WINSTON,SALEM CECUWINSTON-SALEM FEDERAL CREDIT UNION     ,N,Y20140617
253184317FIR,CU GREENSBORO FIRST CAROLINA CORPORATE CU    ,Y,Y
253184537LOCAL,GOVERNMENT LOCAL GOVERNMENT FCU      ,Y,SY20140205
253184841SELF,HELP CU NC SELF-HELP CREDIT UNION    ,Y,Y20100114
253184854ECUSTA,CU PF NC ECUSTA CREDIT UNION    ,Y,SN
253271806ABBEVILLE,FIRST BKABBEVILLE FIRST BANK      ,Y,Y20150220
253271822SECURITY,FB AIKEN SECURITY FEDERAL BANK     ,Y,Y
253271916FIRST,PALMETTO BK FIRST PALMETTO BANK     ,Y,Y20130829
253271945FIRST,FEDERAL BANKSOUTH STATE BANK - FF DIVISION   ,Y,N20140722
253272009SPRATT,SL CHESTER SPRATT S&L ASSN.     ,Y,Y20121026
253272148FI,PIED SL GAFFNEYFIRST PIEDMONT FED. S&L ASSN.   ,Y,N
253272342PEE,DEE FSB MARIONPEE DEE FEDERAL SAVINGS BANK   ,Y,N
253272384PICKENS,"SL SC PICKENS SAVINGS & LOAN ASSN, F.A.  ",Y,N20100121
253272494FIR,"FED WALTERBOROFIRST FEDERAL OF SC, FSB    ",Y,N
253272533WOODRUFF,FEDL S&L WOODRUFF FED. S&L ASSN.    ,Y,SN20100409
253278090SRP,FCU AIKEN SRP FED CREDIT UNION    ,Y,Y20101217
253278126ANMED,HEALTH FCU ANMED HEALTH FEDERAL CREDIT UNION   ,Y,SN20100205
253278139ANDERSON,FCU ANDERSON FCU       ,Y,SN20100506
253278223MCAS,BEAUFORT FCU CPM FEDERAL CU     ,N,Y20150211
253278304ARROWPOINTE,FCU ARROWPOINTE FEDERAL CREDIT UNION     ,N,Y20141107
253278362HERITAGE,FCU CHAS HERITAGE TRUST FEDERAL CREDIT UNION   ,Y,Y20070515
253278401SC,FCU CHARLESTON SOUTH CAROLINA FEDERAL CREDIT UNION   ,Y,N20110209
253278870DIXIES,FEDERAL CU DIXIES FCU      ,Y,Y20090831
253279031ALLSOUTH,FCU ALLSOUTH FEDERAL CREDIT UNION     ,Y,Y20040302
253279099GEORGETWN,KRAFT CUGEORGETOWN KRAFT CREDIT UNION     ,Y,N20000808
253279167GHS,FCU GHS FEDERAL CREDIT UNION     ,N,Y20141202
253279196GREENVILLE,FCU SC GREENVILLE FEDERAL CREDIT UNION    ,Y,Y20141209
253279277SC,TEL FCU GREENVLSOUTH CAROLINA TELCO FCU    ,Y,Y20121003
253279390SPC,CCU HARTSVLE SPC CREDIT UNION     ,Y,N20110201
253279439FOUNDERS,FCU SC FOUNDERS FEDERAL CREDIT UNION    ,Y,Y
253279510CAROLINA,TR FCU CAROLINA TRUST FEDERAL CREDIT UNION   ,Y,Y20130627
253279536CPM,FCU CHAS SC CPM FEDERAL CU    ,Y,Y20141204
253279659FAMILY,TR FCU RH FAMILY TRUST FCU    ,Y,Y20130122
253279691SAFE,FCU SHAW AFB SAFE FCU     ,Y,Y19990804
253978617PALMETTO,CITZ FCU PALMETTO CITIZENS FCU     ,Y,Y20110214
253978730SC,STATE CU COLA SC STATE FEDERAL CREDIT UNION  ,Y,Y20140304
253978743SOUTH,CAROLINA NATSOUTH CAROLINA NATIONAL GUARD FCU    ,Y,Y20100419
254070116CITIBANK,"FSB WASH CITIBANK, N.A.      ",Y,N20141107
254074031AFL,CIO EFCU WASH A F L C I O EMPLOYEES,Y,N20100830
254074057AGRIC,FCU WASH DC AGRICULTURE FCU     ,Y,Y20050927
254074170BK,STAFF FCU WASH BANK FUND STAFF FCU   ,Y,Y20130913
254074183IDB,IIC FCU WASH IDB-IIC FEDERAL CREDIT UNION   ,Y,Y20140414
254074277CENSUS,FCU SUIT MDCENSUS FCU      ,Y,N19990805
254074345WP,CONG FCU WASH WRIGHT PATMAN CONGRESSION FCU   ,Y,Y
254074400CONSTELLATION,FCU CONSTELLATION FCU       ,Y,N20150320
254074413JUSTICE,FCU WASH JUSTICE FCU      ,Y,Y19990805
254074439DEPT,COMM FCU DC DEPARTMENT OF COMMERCE FCU   ,Y,N
254074442DEPT,INT FCU WASH DEPARTMENT OF INTERIOR FCU   ,Y,Y
254074468DC,TEACH FCU WASH DIST COLUMBIA TEACHERS FCU   ,Y,N20000315
254074536PARTNERSHIP,FCU THE PARTNERSHIP FEDERAL CREDIT UNION    ,Y,Y20090604
254074581FRB,FCU F R B FCU     ,Y,Y20120910
254074662GSA,FCU WASH DC GSA FCU     ,Y,SN20061013
254074688DEMOCRACY,FCU DEMOCRACY FCU       ,Y,Y20150108
254074730HUD,FCU WASH H U D FEDERAL CREDIT UNION  ,Y,SY20140701
254074785FEDCHOICE,FCU FEDCHOICE FEDERAL CREDIT UNION     ,Y,N20060908
254074811LAFAY,FCU KENSNGTNLAFAYETTE FCU       ,Y,N
254074837LIBRARY,OF CONGRESLIBRARY OF CONGRESS FCU     ,Y,N20070416
254074934SIGNATURE,FCU ALEXSIGNATURE FEDERAL CREDIT UNION     ,Y,N20150409
254075043NRL,FCU ALEXANDRIAN R L FCU     ,Y,Y20131209
254075072PAHO,WHO FCU WASH PAHO/WHO FCU     ,Y,N20050622
254075111PEPCO,FCU WASH DC PEPCO FCU     ,Y,SY20130814
254075137POLICE,FCU POLICE FCU       ,Y,N20081212
254075250US,SEN EFCU WASH US SENATE EMPLOYEES FCU   ,Y,Y19990805
254075386TRANSIT,EMPL FCU TRANSIT EMPLOYEES FCU     ,N,Y20140113
254075399TRANSPORT,FCU WASHTRANSPORTATION FCU       ,Y,Y
254075409TREAS,FCU WASH TREASURY DEPARTMENT FCU     ,Y,Y20050830
254075438NARFE,PREMIER FCUNARFE PREMIER FEDERAL CREDIT UNION    ,Y,Y20140606
254075441US,POST FCU WASH US POSTAL SERVICE FCU   ,Y,Y20050829
254075454ENERGY,FCU ROCKVLEENERGY FCU       ,Y,N
254075470DVA,FCU WASH DVA FEDERAL CREDIT UNION    ,Y,N20041222
255071444SEVERN,"ANNAPOLIS SEVERN SAVINGS BANK, FSB     ",Y,Y20100629
255071981CAPITAL,"ONE NA CAPITAL ONE, NA     ",Y,N20100830
255072029THE,PATAPSCO BANK THE PATAPSCO BANK     ,Y,Y20110127
255072045CECIL,BANK CECIL BANK       ,Y,Y20091216
255072252JARRETTSVILLE,FED JARRETTSVILLE FED. S&L ASSN.     ,Y,Y20131120
255072362REGA,BT OWING MILLREGAL BANK & TRUST    ,Y,Y20000127
255072537CARROLL,COMNTY BK CARROLL COMMUNITY BANK     ,Y,N20100701
255072595COMMUNITY,BANK CHECOMMUNITY BANK OF THE CHESAPEAKE    ,Y,Y20131105
255073251AMER,FSB ROCKVILLEAMERICAN BANK       ,Y,Y20101110
255073345PRES,"BANK BETHESDAPRESIDENTIAL BANK, FSB      ",Y,Y20081021
255074111ANDREW,CU SUITLANDANDREWS FCU       ,Y,Y20140109
255074988NYMEO,FCU NYMEO FEDERAL CREDIT UNION     ,Y,Y20130409
255075495SIGNAL,FIN FCU SIGNAL FINANCIAL FCU     ,Y,Y20140304
255075576APG,FCU ABERDEEN ABERDEEN PROVING GROUND FCU    ,Y,Y20001004
255076753SECU,OF MD STATE EMPLOYEES CREDIT UNION    ,Y,Y20051026
255076892HAR-CO,CU BEL AIR HAR-CO CREDIT UNION    ,Y,Y20131001
255076928GEICO,FCU GEICO FCU       ,Y,SY20130618
255076944NIHFCU,BETHESDA NATL INSTITUTE OF HEALTH FCU    ,Y,Y
255077008EDUC,SYS FCU EDUCATIONAL SYSTEMS FCU     ,Y,Y20100127
255077299FREEDOM,FCU FREEDOM OF MARYLAND FCU     ,Y,Y20050215
255077370TOW,CU ANNAPOLS JTTOWER FCU      ,Y,Y19990805
255077477MID,ATL FCU MD MID-ATLANTIC FCU     ,Y,Y20050725
255077493MARKET,USA FCU MARKET USA FCU     ,Y,Y20041223
255077516BULLDOG,FCU MD BULL DOG FCU     ,N,Y20141107
255077600MONEY,ONE FCU MD MONEY ONE FCU    ,Y,Y20121204
255077671FIR,FIN LUTHERVLE FIRST FINANCIAL FEDERAL CREDIT UNION   ,Y,Y20131024
255077736CEDAR,POINT FCU CEDAR POINT FCU     ,Y,Y
255077833NASA,FCU BOWIE NASA FEDERAL CREDIT UNION    ,Y,Y20140328
255077901FEDFINANCIAL,FCU FEDFINANCIAL FEDERAL CREDIT UNION     ,Y,N20070410
255077998APL,FCU LAUREL A P L FEDERAL CREDIT UNION  ,Y,Y20140415
255078188PG,EFCU UPPER MARLPRINCE GEORGE'S COMMUNITY FCU    ,Y,N20110415
255083597MARRIOTT,EFCU WASHMARRIOTT EMPLOYEES FCU      ,Y,Y20130226
256072691ETRADE,BANK E TRADE BANK      ,Y,Y20030414
256074974NAVY,FCU WASH NAVY FEDERAL CREDIT UNION    ,Y,Y20140929
256075025NWFCU,HERNDON NORTHWEST FCU       ,Y,Y
256075342ST,DEPT FCU ARLINGSTATE DEPARTMENT FCU     ,Y,Y20130308
256075520WASH,GAS LIGHT FCUWASHINGTON GAS LIGHT FCU    ,Y,N20100901
256078365COMM,ONE FCU ALEX COMMONWEALTH ONE FCU    ,Y,Y19991123
256078404ARLINGTON,CMNTY ARLINGTON COMMUNITY FCU      ,Y,N20120308
256078433PTO,FCU ARLING VA PATENT & TRADEMARK OFFICE FCU  ,Y,SN20060208
256078446PENTAGON,CU ALEX PENTAGON FEDERAL CREDIT UNION    ,Y,Y20050727
256078501FAIRFAX,CO ECU VA FAIRFAX COUNTY FEDERAL CU   ,N,Y20141107
256078514APPLE,FCU FAIRFAX APPLE FEDERAL CREDIT UNION    ,Y,Y19991118
256078543HC,SYS CU FALLS CHHEALTHCARE SYSTEMS FEDERAL CU   ,N,Y20141107
256078569BELVOIR,FCU VA BELVOIR FEDERAL CREDIT UNION    ,Y,Y20100603
257079033167TH,T F R FED CU167TH T F R FED CU,Y,N20010423
261071315DELTA,CCU DELTA COMMUNITY CREDIT UNION     ,Y,Y20090902
261071328STHRN,"CU SOUTHERN CREDIT UNION, THE     ",Y,Y20150428
261071438GA'S,OWN CU GEORGIA'S OWN CREDIT UNION    ,Y,SY20140829
261071522MUTUAL,SVGS CU GA MUTUAL SAVINGS CREDIT UNION   ,Y,Y20110711
261071548EXCEL,FCU ATL EXCEL FEDERAL CREDIT UNION    ,Y,Y20110307
261071564COCA-COLA,FCU COCA-COLA FEDERAL CREDIT UNION     ,Y,Y20150520
261073591BOND,COMM FCU GA BOND COMMUNITY FEDERAL CREDIT UNION  ,Y,N20101104
261170533HERITAGE,BK HERITAGE BANK       ,Y,Y20010126
261170876CHARTERBANK,GA CHARTERBANK        ,Y,Y20090701
261171228MIDSOUTH,FCU MIDSOUTH FEDERAL CREDIT UNION     ,Y,SN20001226
261171244CDC,FCU ATL CDC FEDERAL CREDIT UNION    ,Y,Y
261171309GA,UNITED CU GEORGIA UNITED CREDIT UNION    ,Y,N20141107
261171338FECU,ATL ASSOCIATED CREDIT UNION      ,Y,Y20081028
261171383COOSA,VALLEY FCU COOSA VALLEY FEDERAL CREDIT UNION   ,Y,SN20020718
261171480LGE,COMMUNITY CU LGE COMMUNITY CREDIT UNION    ,Y,Y20080208
261171493CREDIT,UNION OF GACREDIT UNION OF GEORGIA    ,Y,SY20110825
261171587RFCU,ROBINS FEDERAL CREDIT UNION      ,Y,Y20110817
261171671KINETIC,CU KINETIC CREDIT UNION      ,N,Y20141107
261172308EMORY,ALLIANCE CU EMORY ALLIANCE CREDIT UNION    ,Y,Y20130530
261174432MEMBERS,1ST CU GA MEMBERS FIRST CREDIT UNION   ,Y,Y20111003
261174759PEACH,STATE FCU GAPEACH STATE FEDERAL CREDIT UNION   ,Y,SN20130627
261184367CATALYST,CORP FCU CATALYST CORPORATE FCU     ,Y,N20110907
261187173NORTHWEST,GA CU NORTHWEST GEORGIA CREDIT UNION    ,Y,SY20010829
261270679FAMILY,BANK GA FAMILY BANK      ,Y,N20090624
2612708311ST,FED S&L ASC GA1ST FEDERAL SAVINGS & LOAN ASSOC ,Y,N20090806
261270857VIDALIA,FED SAV/LNVIDALIA FEDERAL SAVINGS      ,Y,SN20120208
261271115HERITAGEBANK,HERITAGEBANK OF THE SOUTH      ,Y,Y20110317
261271500SOUTHEASTERN,FCU SOUTHEASTERN FEDERAL CREDIT UNION     ,Y,SN20150127
261271649UNITED,1ST FCU UNITED 1ST FEDERAL CREDIT UNION   ,Y,SN20010618
261271717ATL,COAST BK FL ATLANTIC COAST BANK    ,Y,N20141107
261272046FIVE,STAR CU AL FIVE STAR CREDIT UNION   ,Y,Y20140508
261272651MARSHLAND,COMM FCUMARSHLAND COMMUNITY FCU      ,Y,Y20110420
261272826INTERSTE,UNLTD FCUINTERSTATE UNLIMITED FCU      ,Y,N20110921
261273155SAVANNAH,POSTAL CUSAVANNAH POSTAL CREDIT UNION     ,Y,N19990729
261291247SOUTH,GEORGIA BANKSOUTH GEORGIA BANK      ,Y,SY20140307
261375684TN,VALLEY FCU TENNESSEE VALLEY FCU     ,Y,Y20140815
261388406COMTRUST,FCU COMTRUST FEDERAL CREDIT UNION     ,Y,SN20050201
262083881AMERS,FST FCU AMERICA'S FIRST FEDERAL CREDIT UNION   ,Y,Y20100806
262083991ECO,CRDIT UNION ALECO CREDIT UNION     ,Y,SY20141118
2620850701ST,RESOURCE CU 1ST RESOURCE CREDIT UNION    ,Y,N20140919
262086561UNIVERSITY,FED CU LEGACY COMMUNITY FCU     ,Y,Y20060227
262087528AVADIAN,CU AVADIAN CREDIT UNION      ,Y,Y20150202
262087609APCO,EMPLOYEES CU APCO EMPLOYEES CREDIT UNION    ,N,Y20141124
262090120CORP,AMER CU CORPORATE AMERICA CREDIT UNION    ,Y,Y20070112
262183749ARMY,AVIATION ARMY AVIATION CENTER FCU     ,Y,Y20120323
262184515FST,FED S&L FIRST FEDERAL BANK     ,Y,N
262275835REDSTONE,FED CU REDSTONE FEDERAL CREDIT UNION    ,Y,Y
262275958MAX,CU MONTGMRY MAX CREDIT UNION     ,Y,Y20081008
262276397ALABAMA,STATE FCU ALABAMA STATE FCU     ,Y,SY20140107
262277011LISTERHILL,CU LISTERHILL CREDIT UNION      ,Y,Y20130909
262277118HERITAGE,SO FCU HERITAGE SOUTH CREDIT UNION    ,Y,Y20150127
262277189ALABAMA,ONE CU AL ALABAMA ONE CREDIT UNION   ,N,Y20141107
262277419ALABAMA,CU ALABAMA CREDIT UNION      ,N,Y20141107
262283665FIRST,SOUTHERN BK FIRST SOUTHERN BANK     ,N,Y20141107
262284279FAMILY,SEC CR UN FAMILY SECURITY CREDIT UNION   ,N,Y20141107
262284460SOUTHFIRST,BK SOUTHFIRST BANK       ,Y,Y20120201
262286170AOD,FCU AOD FEDERAL CREDIT UNION     ,N,Y20140716
262287195FAMILY,SAVINGS ALFAMILY SAVINGS CREDIT UNION     ,Y,SY20130830
262287218FIRST,COMM BK CULLFIRST COMMUNITY BANK OF CULLMAN   ,Y,N20110719
262287386PINNACLE,BK JASPERPINNACLE BANK       ,Y,Y20011206
263078918FIRST,FLORIDA CU FIRST FLORIDA CREDIT UNION    ,Y,N20150202
263078934COMM,FST CU OF FL COMMUNITY FIRST CREDIT UNION OF FL,Y,Y20140220
263079014FIRST,FLORIDA CU FIRST FLORIDA CREDIT UNION    ,Y,Y20130820
2.63E+11,FINANC CU FL 121 FINANCIAL CREDIT UNION   ,Y,Y20141208
263079182JAX,METRO CU FL JAX METRO CREDIT UNION   ,Y,Y20130801
263079234JAX,FCU FL JAX FEDERAL CREDIT UNION    ,Y,Y20111123
263079276VYSTAR,CU VYSTAR CREDIT UNION      ,Y,Y20100317
263079289CITY,POLICE FCU FLCITY & POLICE FEDERAL CREDIT UNION  ,N,Y20141107
263079409COASTLINE,CU JAX COASTLINE FEDERAL CREDIT UNION    ,Y,N
263079412FIRST,FLORIDA CU FIRST FLORIDA CREDIT UNION    ,Y,N20141107
263177686FOCUS,CU FOCUS CREDIT UNION      ,Y,N20110505
263177741PINELLAS,CNTY FCU PINELLAS FEDERAL CREDIT UNION    ,Y,N20111013
263177903SPACE,COAST CU SPACE COAST CREDIT UNION    ,Y,Y20100407
263178070EGLIN,FED CU EGLIN FEDERAL CREDIT UNION    ,Y,Y
263178410FLORIDA,CR UNION FLORIDA CREDIT UNION     ,Y,N20100304
263178452SUNSTATE,FCU FL SUNSTATE FEDERAL CREDIT UNION    ,Y,SY20130412
263178478CAMPUS,USA CU CAMPUS USA CREDIT UNION    ,Y,Y20030725
263178494MY,HEALTHCARE FCU MY HEALTHCARE FEDERAL CREDIT UNION   ,Y,N20150610
263179532LAUNCH,FCU LAUNCH FEDERAL CREDIT UNION     ,Y,Y20140708
263179804MIDFLORIDA,CU MIDFLORIDA CU       ,Y,N20091007
263179817PUBLIX,EMPLOY FCU PUBLIX EMPLOYEES FCU     ,Y,Y20100806
263179956MCCOY,FCU MCCOY FEDERAL CREDIT UNION     ,Y,Y
263181229INSIGHT,FIN CU INSIGHT CREDIT UNION     ,Y,Y20141014
263181368FAIRWINDS,FCU FAIRWINDS CREDIT UNION      ,Y,Y19991209
263181384CEN,FLA EFCU CENTRAL FLORIDA EDUCATORS FCU    ,Y,Y20090127
263181407ORLANDO,FED CU ORLANDO FEDERAL CREDIT UNION    ,Y,Y20030604
263181575SPACE,CST CU SPACE COAST CREDIT UNION    ,Y,N
263182037COMMUNITY,CU OF FLCOMMUNITY CREDIT UNION OF FLORIDA   ,Y,Y20131025
263182040SAN,ANTON.CIT.FCU SAN ANTONIO CITIZENS FEDERAL C U   ,N,Y20150220
263182312ACHIEVA,CU ACHIEVA CREDIT UNION      ,Y,N20041029
263182516FIRST,COMMERCE CU FIRST COMMERCE CREDIT UNION    ,Y,Y20140317
263182529FLAG,CREDIT UNION FLAG CREDIT UNION     ,Y,N20130515
263182545FLORIDA,ST UNIV CUFLORIDA STATE UNIVERSITY CU    ,Y,SN20121114
263182558ENVISION,CU ENVISION CREDIT UNION      ,Y,Y20090911
263182794GTE,FCU D/B/A GTE GTE FCU D/B/A GTE FINANCIAL  ,Y,Y20150428
263182817SUNCOAST,FL SUNCOAST CREDIT UNION      ,Y,Y20140117
263182914GROW,FINANCIAL FCUGROW FINANCIAL FCU      ,Y,Y20100107
263183010TAMPA,BAY FED CU TAMPA BAY FEDERAL CREDIT UNION  ,Y,Y
263183159USFFCU,USF FEDERAL CREDIT UNION      ,Y,SY20130701
263183175TYNDALL,FCU TYNDALL FEDERAL CREDIT UNION     ,Y,Y19990716
263183492GULF,STATES FCU FLGULF STATES FEDERAL CREDIT UNION   ,Y,SN20120404
263184488FIRST,FED LIVE OAKFIRST FEDERAL BANK OF FLORIDA   ,Y,Y20100819
263184815AXIOM,BANK FL AXIOM BANK      ,Y,N20141216
263185018SUNSHINE,BANK FL SUNSHINE BANK      ,Y,N20150304
263187320SURETY,BANK SURETY BANK       ,Y,Y20131212
263189069SE,CORP FCU CORPORATE ONE FEDERAL CREDIT UNION   ,Y,N20130228
263189218MARTIN,FCU MARTIN FEDERAL CREDIT UNION     ,Y,Y20150615
263191387BB&T,FLORIDA BB&T NORTHERN FLORIDA      ,Y,N20021120
263277670HARVESTERS,FCU HARVESTERS FCU       ,Y,SN20120502
263281527PANHAND,EDU FCU FLPANHANDLE EDUCATORS FCU     ,N,Y20141210
263281556INNOVATIONS,FCU INNOVATIONS FEDERAL CREDIT UNION     ,Y,Y20110308
263281679GULF,WINDS FCU GULF WINDS FEDERAL CREDIT UNION   ,Y,Y20140618
263281695PEN,AIR FCU PEN AIR FEDERAL CREDIT UNION   ,Y,Y20001127
264080390LIFEWAY,CU TN LIFEWAY CREDIT UNION     ,N,Y20141114
264080400LIFE,CREDIT UNION LIFE CREDIT UNION     ,N,Y20141124
264080549ELECTRIC,SERVICE ELECTRIC SERVICE CREDIT UNION     ,N,Y20150112
264080811EDUCATORS,CR UNIONCORNERSTONE FINANCIAL CREDIT UNION     ,N,Y20141107
264080866NASHVILLE,PO CU TNNASHVILLE POST OFFICE CREDIT UNION   ,N,Y20140812
264081179SE,FINANCIAL CU TNSOUTHEAST FINANCIAL CREDIT UNION    ,Y,SY20140826
264081205US,COMMUNITY CU TNUS COMMUNITY CREDIT UNION    ,N,Y20140924
264171209FIRST,ADVAN BK TN FIRST ADVANTAGE BANK    ,Y,Y20111107
264171267HIGHLAND,FED S & LHIGHLAND FEDERAL SAVINGS & LOAN  ,Y,N20050929
264171270FIRST,FEDERAL BANKFIRST FEDERAL BANK      ,Y,Y20030822
264171500SECURITY,FEDERAL SECURITY FED SVG BANK OF MCMINNVILLE   ,Y,N20021003
264172169PROCRESSIVE,BANK PROGRESSIVE SAVINGS BANK      ,Y,N20101109
264174303AMERICAN,BK & TR AMERICAN BK & TR OF THE CUMBERLANDS,Y,N20021003
264179900EMPLOYEE,RESOURCE EMPLOYEE RESOURCES CREDIT UNION     ,N,Y20150217
264181299LAKESIDE,EE CU TN LAKESIDE EMPLOYEES CREDIT UNION   ,N,Y20141112
264181448OLD,HICKORY CU OLD HICKORY EMPLOYEES CREDIT UNION   ,Y,N
264181574HERITAGE,SOUTH COMHERITAGE SOUTH COMMUNITY CU     ,N,Y20141125
264181626ASCEND,FC ASCEND FEDERAL CREDIT UNION     ,Y,Y20061211
264182120FT,CAMPBELL FCU FORT CAMPBELL FEDERAL CREDIT UNION   ,Y,Y20090810
264182395VOL,CORP NASHVILLEVOLUNTEER CORPORATE CREDIT UNION     ,Y,Y20110103
264271183ATHENS,FED COMM BKATHENS FEDERAL COMMUNITY BANK N   ,Y,N19990625
264271345GREENEVILLE,FED BKGREENEVILLE FEDERAL BANK FSB     ,Y,N19991021
264271390HOME,FED KNOX HOME FEDERAL SAVINGS BANK OF TN  ,Y,Y
264271468VOLUNTEER,FED VOLUNTEER FED SAV & LOAN ASSN   ,Y,Y20080109
264271617NEWPORT,FED BANK NEWPORT FEDERAL BANK     ,Y,N20030206
264278283ALCOA,TENN FCU ALCOA TENN FEDERAL CREDIT UNION   ,Y,N
264278461BOWATER,EML CU BOWATER EMPLOYEES CREDIT UNION    ,Y,SN20141031
